ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2019","Tuberculosis†, Cum 2019, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag",Location 1,Location 2,New Georeferenced Column
OHIO,2019,2,19,,19,,70,,41,,68,,OHIO,,POINT (-82.70936 40.415534)
MINNESOTA,2019,2,39,,26,,45,,65,,79,,MINNESOTA,,POINT (-94.198308 46.349153)
LOUISIANA,2019,2,23,,14,,25,,40,,59,,LOUISIANA,,POINT (-91.840238 30.921314)
HAWAII,2019,2,9,,9,,32,,22,,62,,HAWAII,,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2019,2,368,,268,,503,,654,,715,,,SOUTH ATLANTIC,
PENNSYLVANIA,2019,2,53,,32,,56,,85,,106,,PENNSYLVANIA,,POINT (-77.838886 40.896694)
UTAH,2019,2,6,,3,,6,,12,,10,,UTAH,,POINT (-111.678222 39.323779)
COLORADO,2019,2,12,,12,,19,,24,,31,,COLORADO,,POINT (-105.547832 38.998552)
VERMONT,2019,2,2,,0,,2,,2,,3,,VERMONT,,POINT (-72.662695 44.075252)
KENTUCKY,2019,2,21,,13,,21,,35,,35,,KENTUCKY,,POINT (-85.290484 37.526683)
U.S. VIRGIN ISLANDS,2019,2,,-,0,,0,,,-,,-,VIRGIN ISLANDS,,POINT (-64.840836 18.060868)
MAINE,2019,2,6,,1,,6,,8,,10,,MAINE,,POINT (-69.06137 45.117911)
VIRGINIA,2019,2,45,,14,,88,,64,,77,,VIRGINIA,,POINT (-78.666382 37.510861)
ARIZONA,2019,2,19,,19,,47,,53,,91,,ARIZONA,,POINT (-111.664616 34.293239)
NORTHERN MARIANA ISLANDS,2019,2,8,,6,,13,,21,,29,,NORTHERN MARIANA ISLANDS,,POINT (145.725693 15.1834)
WISCONSIN,2019,2,6,,6,,18,,15,,20,,WISCONSIN,,POINT (-89.732969 44.639954)
IDAHO,2019,2,1,,1,,4,,2,,7,,IDAHO,,POINT (-114.659366 44.389073)
MICHIGAN,2019,2,9,,9,,37,,32,,52,,MICHIGAN,,POINT (-85.730977 44.874798)
GEORGIA,2019,2,72,,49,,78,,132,,110,,GEORGIA,,POINT (-83.426574 32.638481)
NEW YORK CITY,2019,2,152,,110,,152,,262,,277,,,NEW YORK CITY,
ARKANSAS,2019,2,3,,3,,25,,28,,31,,ARKANSAS,,POINT (-92.439162 34.899825)
MISSISSIPPI,2019,2,5,,5,,17,,20,,51,,MISSISSIPPI,,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2019,2,3,,1,,4,,7,,7,,SOUTH DAKOTA,,POINT (-100.230491 44.43614)
WYOMING,2019,2,1,,0,,1,,1,,,-,WYOMING,,POINT (-107.55145 42.999627)
