ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis*, Current quarter, flag","Tuberculosis*, Previous 4 quarters Min","Tuberculosis*, Previous 4 quarters Min, flag","Tuberculosis*, Previous 4 quarters Max","Tuberculosis*, Previous 4 quarters Max, flag","Tuberculosis*, Cum 2014","Tuberculosis*, Cum 2014, flag","Tuberculosis*, Cum 2013","Tuberculosis*, Cum 2013, flag",Location 1 (state),Location 1,Location 2
CONNECTICUT,2014,2,9,,7,,16,,16,,30,,CONNECTICUT,POINT (-72.64983753699966 41.56266101800048),
WASHINGTON,2014,2,,-,0,,53,,,-,116,,WASHINGTON,POINT (-120.47002746299972 47.5222894470005),
MINNESOTA,2014,2,36,,29,,40,,65,,60,,MINNESOTA,POINT (-94.79419697699967 46.35564575300049),
PUERTO RICO,2014,2,14,,10,,17,,24,,17,,PUERTO RICO,POINT (-66.49988980099965 18.24828934900046),
NEVADA,2014,2,23,,5,,28,,28,,41,,NEVADA,POINT (-117.07183978499972 39.493242807000456),
WEST VIRGINIA,2014,2,4,,3,,5,,8,,5,,WEST VIRGINIA,POINT (-80.71263935099967 38.66551303900047),
CALIFORNIA,2014,2,357,,357,,668,,739,,944,,CALIFORNIA,POINT (-120.99999889499969 37.63864203100047),
ARIZONA,2014,2,53,,5,,105,,58,,48,,ARIZONA,POINT (-111.76380949799972 34.865970167000455),
MISSISSIPPI,2014,2,11,,10,,17,,28,,38,,MISSISSIPPI,POINT (-89.53802764499966 32.745512774000474),
NEBRASKA,2014,2,1,,1,,9,,6,,8,,NEBRASKA,POINT (-99.36571864599966 41.641041981000456),
PENNSYLVANIA,2014,2,43,,28,,82,,71,,72,,PENNSYLVANIA,POINT (-77.86069775999965 40.79373260300048),
MONTANA,2014,2,,-,0,,2,,,-,3,,MONTANA,POINT (-109.42441687999968 47.06652759400049),
ALASKA,2014,2,7,,7,,20,,24,,34,,ALASKA,POINT (-147.72205669099972 64.84507631500048),
TEXAS,2014,2,224,,224,,310,,515,,611,,TEXAS,POINT (-99.4267664729997 31.827240712000446),
VERMONT,2014,2,,-,0,,3,,,-,2,,VERMONT,POINT (-72.51763944499965 43.62538000100045),
NORTH CAROLINA,2014,2,61,,13,,107,,74,,73,,NORTH CAROLINA,POINT (-79.15924924699965 35.46622096200048),
OKLAHOMA,2014,2,12,,7,,19,,19,,31,,OKLAHOMA,POINT (-97.52106845499969 35.472031425000466),
TENNESSEE,2014,2,40,,29,,46,,69,,57,,TENNESSEE,POINT (-85.77448642199965 35.68094014000047),
HAWAII,2014,2,23,,23,,38,,61,,57,,HAWAII,POINT (-157.85774691599974 21.304853205000427),
ARKANSAS,2014,2,20,,13,,24,,44,,44,,ARKANSAS,POINT (-92.27448794899965 34.74865329300047),
VIRGINIA,2014,2,53,,29,,72,,82,,70,,VIRGINIA,POINT (-78.45788924199968 37.542682294000485),
IDAHO,2014,2,1,,1,,3,,3,,5,,IDAHO,POINT (-114.3637261449997 43.68263160000049),
FLORIDA,2014,2,116,,116,,168,,257,,320,,FLORIDA,POINT (-81.92895558499964 28.93204444200046),
SOUTH DAKOTA,2014,2,1,,1,,4,,5,,4,,SOUTH DAKOTA,POINT (-100.37352811899967 44.35313049600046),
OREGON,2014,2,17,,17,,24,,34,,29,,OREGON,POINT (-120.15502977999972 44.56745218600048),
WISCONSIN,2014,2,15,,5,,15,,25,,31,,WISCONSIN,POINT (-89.81636715299965 44.393191877000504),
NEW MEXICO,2014,2,4,,4,,13,,14,,29,,NEW MEXICO,POINT (-106.24057768899968 34.520884020000494),
KENTUCKY,2014,2,17,,12,,26,,29,,38,,KENTUCKY,POINT (-84.77496612599964 37.645970985000474),
NEW YORK,2014,2,67,,33,,67,,100,,98,,NEW YORK,POINT (-75.54396639699968 42.82700178100049),
MICHIGAN,2014,2,16,,16,,46,,37,,55,,MICHIGAN,POINT (-84.71438724399968 44.66132176400049),
INDIANA,2014,2,27,,18,,37,,48,,42,,INDIANA,POINT (-86.14995579899966 39.76691072200049),
MASSACHUSETTS,2014,2,24,,24,,58,,61,,86,,MASSACHUSETTS,POINT (-72.08268985899963 42.27687014100047),
NEW HAMPSHIRE,2014,2,2,,2,,7,,6,,4,,NEW HAMPSHIRE,POINT (-71.50035726399966 43.65595081000049),
NORTH DAKOTA,2014,2,,-,0,,2,,,-,8,,NORTH DAKOTA,POINT (-100.11842599699969 47.47531892900048),
KANSAS,2014,2,,-,0,,12,,,-,16,,KANSAS,POINT (-98.20077655499966 38.3477418760005),
ALABAMA,2014,2,35,,28,,36,,71,,50,,ALABAMA,POINT (-86.63185803899967 32.84057034900047),
RHODE ISLAND,2014,2,4,,1,,7,,5,,17,,RHODE ISLAND,POINT (-71.52246918099962 41.708284362000484),
GEORGIA,2014,2,50,,50,,82,,118,,173,,GEORGIA,POINT (-83.62757601199968 32.83968158500045),
UTAH,2014,2,7,,5,,9,,12,,17,,UTAH,POINT (-111.5871285339997 39.36070082200047),
GUAM,2014,2,17,,2,,17,,19,,24,,GUAM,POINT (144.73149801400064 13.480998894000436),
MAINE,2014,2,4,,3,,6,,9,,5,,MAINE,POINT (-68.98502952999962 45.2542257390005),
NEW YORK CITY,2014,2,146,,137,,163,,283,,342,,NEW YORK CITY,POINT (-74.00596858999967 40.71426755700048),
NEW JERSEY,2014,2,88,,27,,114,,115,,113,,NEW JERSEY,POINT (-74.27368565099965 40.13057159500045),
COLORADO,2014,2,16,,9,,22,,25,,33,,COLORADO,POINT (-106.13360888799969 38.84384201300048),
LOUISIANA,2014,2,48,,1,,66,,49,,37,,LOUISIANA,POINT (-92.44567554599968 31.312664106000454),
IOWA,2014,2,,-,0,,14,,10,,19,,IOWA,POINT (-93.81648936699969 42.469401477000474),
OHIO,2014,2,,-,0,,49,,,-,70,,OHIO,POINT (-82.40425685299965 40.06021184000048),
UNITED STATES,2014,3,1571,,1571,,2781,,5551,,6708,,,,
NEW ENGLAND,2014,3,50,,50,,86,,173,,233,,,,
CONNECTICUT,2014,3,16,,8,,17,,41,,45,,CONNECTICUT,,
MAINE,2014,3,2,,2,,5,,12,,11,,MAINE,,
MASSACHUSETTS,2014,3,26,,26,,58,,103,,140,,MASSACHUSETTS,,
NEW HAMPSHIRE,2014,3,3,,2,,4,,9,,11,,NEW HAMPSHIRE,,
RHODE ISLAND,2014,3,3,,1,,4,,8,,24,,RHODE ISLAND,,
VERMONT,2014,3,,-,0,,3,,,-,2,,VERMONT,,
MID. ATLANTIC,2014,3,330,,224,,397,,903,,997,,,,
NEW JERSEY,2014,3,81,,27,,114,,196,,206,,NEW JERSEY,,
NEW YORK,2014,3,29,,29,,66,,128,,155,,NEW YORK,,
NEW YORK CITY,2014,3,157,,136,,157,,442,,504,,NEW YORK CITY,,
PENNSYLVANIA,2014,3,63,,28,,82,,137,,132,,PENNSYLVANIA,,
E.N. CENTRAL,2014,3,110,,110,,231,,438,,531,,,,
ILLINOIS,2014,3,57,,57,,113,,199,,214,,ILLINOIS,,
INDIANA,2014,3,24,,18,,26,,70,,79,,INDIANA,,
MICHIGAN,2014,3,18,,18,,46,,63,,93,,MICHIGAN,,
OHIO,2014,3,4,,4,,49,,72,,100,,OHIO,,
WISCONSIN,2014,3,7,,5,,16,,34,,45,,WISCONSIN,,
W.N. CENTRAL,2014,3,26,,26,,102,,144,,267,,,,
IOWA,2014,3,2,,2,,12,,24,,33,,IOWA,,
KANSAS,2014,3,,-,0,,10,,,-,28,,KANSAS,,
MINNESOTA,2014,3,18,,18,,40,,83,,100,,MINNESOTA,,
MISSOURI,2014,3,2,,2,,32,,21,,72,,MISSOURI,,
NEBRASKA,2014,3,,-,0,,5,,6,,17,,NEBRASKA,,
NORTH DAKOTA,2014,3,4,,0,,4,,5,,10,,NORTH DAKOTA,,
SOUTH DAKOTA,2014,3,,-,0,,4,,5,,7,,SOUTH DAKOTA,,
S. ATLANTIC,2014,3,274,,274,,513,,1039,,1214,,,,
DELAWARE,2014,3,4,,4,,8,,17,,15,,DELAWARE,,
DIST. OF COL.,2014,3,5,,4,,8,,16,,30,,DIST. OF COL.,,
FLORIDA,2014,3,90,,90,,164,,397,,489,,FLORIDA,,
GEORGIA,2014,3,42,,42,,81,,187,,254,,GEORGIA,,
MARYLAND,2014,3,32,,28,,54,,114,,123,,MARYLAND,,
NORTH CAROLINA,2014,3,37,,13,,106,,111,,109,,NORTH CAROLINA,,
SOUTH CAROLINA,2014,3,19,,14,,36,,51,,76,,SOUTH CAROLINA,,
VIRGINIA,2014,3,43,,29,,72,,136,,108,,VIRGINIA,,
WEST VIRGINIA,2014,3,2,,2,,4,,10,,10,,WEST VIRGINIA,,
E.S. CENTRAL,2014,3,99,,94,,109,,302,,283,,,,
ALABAMA,2014,3,26,,26,,36,,97,,78,,ALABAMA,,
KENTUCKY,2014,3,24,,12,,26,,53,,50,,KENTUCKY,,
MISSISSIPPI,2014,3,23,,10,,23,,58,,51,,MISSISSIPPI,,
TENNESSEE,2014,3,26,,26,,39,,94,,104,,TENNESSEE,,
W.S. CENTRAL,2014,3,240,,240,,404,,959,,1098,,,,
ARKANSAS,2014,3,26,,18,,26,,71,,57,,ARKANSAS,,
LOUISIANA,2014,3,23,,1,,66,,74,,72,,LOUISIANA,,
OKLAHOMA,2014,3,12,,7,,20,,36,,48,,OKLAHOMA,,
TEXAS,2014,3,179,,179,,305,,778,,921,,TEXAS,,
MOUNTAIN,2014,3,77,,39,,168,,229,,279,,,,
ARIZONA,2014,3,33,,5,,105,,91,,79,,ARIZONA,,
COLORADO,2014,3,16,,9,,17,,41,,55,,COLORADO,,
IDAHO,2014,3,1,,1,,2,,4,,8,,IDAHO,,
MONTANA,2014,3,,-,0,,3,,4,,5,,MONTANA,,
NEVADA,2014,3,14,,5,,28,,42,,64,,NEVADA,,
NEW MEXICO,2014,3,7,,7,,12,,27,,42,,NEW MEXICO,,
UTAH,2014,3,6,,5,,9,,20,,26,,UTAH,,
WYOMING,2014,3,,-,0,,0,,,-,,-,WYOMING,,
PACIFIC,2014,3,365,,365,,776,,1364,,1806,,,,
ALASKA,2014,3,5,,5,,18,,33,,55,,ALASKA,,
CALIFORNIA,2014,3,330,,330,,665,,1195,,1446,,CALIFORNIA,,
HAWAII,2014,3,20,,20,,38,,90,,83,,HAWAII,,
OREGON,2014,3,10,,10,,19,,46,,53,,OREGON,,
WASHINGTON,2014,3,,-,0,,45,,,-,169,,WASHINGTON,,
AMER. SAMOA,2014,3,,-,0,,1,,1,,2,,AMER. SAMOA,,
C.N.M.I.,2014,3,,-,0,,5,,3,,12,,C.N.M.I.,,
GUAM,2014,3,11,,2,,19,,32,,39,,GUAM,,
PUERTO RICO,2014,3,7,,7,,14,,31,,34,,PUERTO RICO,,
VIRGIN ISL.,2014,3,,-,0,,0,,,-,2,,VIRGIN ISL.,,
UNITED STATES,2014,4,1925,,1845,,2374,,8420,,9490,,,,
NEW ENGLAND,2014,4,73,,59,,84,,296,,319,,,,
MID. ATLANTIC,2014,4,327,,223,,364,,1263,,1393,,,,
E.N. CENTRAL,2014,4,172,,140,,192,,681,,762,,,,
W.N. CENTRAL,2014,4,89,,68,,89,,300,,368,,,,
S. ATLANTIC,2014,4,298,,298,,459,,1476,,1727,,,,
DIST. OF COL.,2014,4,11,,4,,11,,31,,38,,DIST. OF COL.,,
E.S. CENTRAL,2014,4,107,,94,,109,,416,,388,,,,
W.S. CENTRAL,2014,4,263,,263,,396,,1383,,1502,,,,
MOUNTAIN,2014,4,109,,40,,117,,370,,447,,,,
PACIFIC,2014,4,487,,487,,601,,2235,,2584,,,,
AMER. SAMOA,2014,4,,-,0,,1,,1,,2,,AMER. SAMOA,,
C.N.M.I.,2014,4,,-,0,,7,,14,,17,,C.N.M.I.,,
VIRGIN ISL.,2014,4,,-,0,,0,,,-,2,,VIRGIN ISL.,,
NEW YORK,2014,4,52,,33,,66,,188,,215,,NEW YORK,POINT (-75.54396609999998 42.82700376100007),
NEW JERSEY,2014,4,83,,27,,88,,283,,320,,NEW JERSEY,POINT (-74.27368796999997 40.130570807000026),
VERMONT,2014,4,2,,0,,2,,2,,5,,VERMONT,POINT (-72.51763667599994 43.62538389600007),
HAWAII,2014,4,22,,22,,38,,121,,115,,HAWAII,POINT (-157.85774798099996 21.30485232600006),
SOUTH CAROLINA,2014,4,16,,14,,22,,70,,112,,SOUTH CAROLINA,POINT (-81.04536596899999 33.99882216300006),
INDIANA,2014,4,36,,20,,36,,110,,97,,INDIANA,POINT (-86.14995646699998 39.766913353000064),
IDAHO,2014,4,1,,1,,2,,5,,10,,IDAHO,POINT (-114.36372693399994 43.68263174800006),
NEW HAMPSHIRE,2014,4,3,,2,,4,,12,,14,,NEW HAMPSHIRE,POINT (-71.50035697299995 43.65595283500005),
TEXAS,2014,4,204,,204,,310,,1128,,1221,,TEXAS,POINT (-99.42676785299994 31.827240467000024),
WISCONSIN,2014,4,7,,7,,17,,45,,50,,WISCONSIN,POINT (-89.81636640199997 44.39319064600005),
WYOMING,2014,4,,-,0,,0,,,-,,-,WYOMING,POINT (-108.10982701399996 43.23554100600006),
