ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEBRASKA,2020,2,,U,,NC,,U,,U,,-,3,,,-,1,,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,2,,U,,NC,,U,,U,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20200238,
NORTH DAKOTA,2020,2,,U,,NC,,U,,U,,-,2,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
NEVADA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
ILLINOIS,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
IOWA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
TEXAS,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
ALASKA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
WASHINGTON,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,2,,U,,NC,,U,,U,,-,2,,,-,,-,,NEW ENGLAND,20200202,
RHODE ISLAND,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
OREGON,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
DELAWARE,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
ALABAMA,2020,2,,U,,NC,,U,,U,,-,1,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
