ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PENNSYLVANIA,2020,26,2,,9,,65,,94,,,-,1,,,-,1,,PENNSYLVANIA,,20202613,POINT (-77.838886 40.896694)
UTAH,2020,26,,-,3,,14,,13,,,-,0,,,-,,-,UTAH,,20202655,POINT (-111.678222 39.323779)
COLORADO,2020,26,,-,6,,14,,26,,,-,1,,,-,4,,COLORADO,,20202650,POINT (-105.547832 38.998552)
VERMONT,2020,26,,-,1,,,-,3,,,-,0,,,-,,-,VERMONT,,20202608,POINT (-72.662695 44.075252)
KENTUCKY,2020,26,,-,7,,32,,35,,,-,2,,,-,5,,KENTUCKY,,20202640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,26,,-,3,,10,,16,,,-,0,,,-,,-,PUERTO RICO,,20202667,POINT (-66.414655 18.215692)
MAINE,2020,26,1,,3,,11,,12,,,-,1,,,-,,-,MAINE,,20202604,POINT (-69.06137 45.117911)
VIRGINIA,2020,26,3,,28,,64,,60,,,-,1,,1,,2,,VIRGINIA,,20202636,POINT (-78.666382 37.510861)
ARIZONA,2020,26,,-,6,,,-,96,,,-,1,,1,,1,,ARIZONA,,20202649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,26,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20202664,
WISCONSIN,2020,26,,-,4,,18,,21,,,-,1,,,-,1,,WISCONSIN,,20202619,POINT (-89.732969 44.639954)
IDAHO,2020,26,,-,2,,7,,3,,,-,0,,,-,,-,IDAHO,,20202651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,26,,-,1,,2,,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202668,POINT (-64.840836 18.060868)
MICHIGAN,2020,26,,-,8,,31,,60,,,-,1,,,-,,-,MICHIGAN,,20202617,POINT (-85.730977 44.874798)
GEORGIA,2020,26,,-,26,,88,,126,,,-,1,,,-,,-,GEORGIA,,20202632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,26,,-,1,,3,,4,,,-,0,,,-,,-,,NEW YORK CITY,20202612,
ARKANSAS,2020,26,1,,4,,32,,40,,,-,9,,6,,31,,ARKANSAS,,20202644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,26,,-,6,,10,,39,,,-,0,,,-,1,,MISSISSIPPI,,20202641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,26,1,,2,,11,,7,,,-,2,,,-,8,,SOUTH DAKOTA,,20202627,POINT (-100.230491 44.43614)
WYOMING,2020,26,,-,0,,,-,1,,,-,1,,1,,,-,WYOMING,,20202656,POINT (-107.55145 42.999627)
MISSOURI,2020,26,1,,4,,28,,27,,,-,2,,12,,9,,MISSOURI,,20202624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,26,5,,46,,200,,335,,,-,1,,,-,2,,,MIDDLE ATLANTIC,20202609,
CALIFORNIA,2020,26,1,,72,,583,,976,,,-,1,,,-,3,,CALIFORNIA,,20202659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,26,,-,1,,8,,4,,,-,0,,,-,,-,WEST VIRGINIA,,20202637,POINT (-80.613729 38.642579)
FLORIDA,2020,26,1,,17,,185,,296,,,-,0,,,-,,-,FLORIDA,,20202631,POINT (-82.420978 28.260731)
MONTANA,2020,26,,-,1,,,-,,-,,-,1,,1,,1,,MONTANA,,20202652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,26,2,,33,,102,,150,,,-,5,,16,,36,,,WEST NORTH CENTRAL,20202620,
MASSACHUSETTS,2020,26,4,,8,,54,,85,,,-,1,,2,,3,,MASSACHUSETTS,,20202605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,26,1,,12,,74,,177,,,-,2,,3,,8,,,MOUNTAIN,20202648,
INDIANA,2020,26,,-,5,,47,,58,,,-,0,,,-,,-,INDIANA,,20202616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202669,
US TERRITORIES,2020,26,2,,8,,57,,76,,,-,0,,,-,,-,,US TERRITORIES,20202663,
TOTAL,2020,31,41,,294,,3328,,5077,,,-,12,,38,,157,,,TOTAL,20203170,
US RESIDENTS,2020,43,57,,291,,4691,,7031,,,-,5,,66,,238,,,US RESIDENTS,20204301,
NEW HAMPSHIRE,2020,43,,-,2,,7,,6,,,-,0,,,-,1,,NEW HAMPSHIRE,,20204306,POINT (-71.57139 43.680429)
NEW YORK,2020,43,2,,15,,126,,144,,,-,1,,1,,1,,NEW YORK,,20204311,POINT (-75.59655 42.921241)
PACIFIC,2020,43,1,,78,,1351,,2042,,,-,4,,6,,5,,,PACIFIC,20204357,
WEST SOUTH CENTRAL,2020,43,3,,42,,726,,1119,,,-,5,,9,,101,,,WEST SOUTH CENTRAL,20204343,
NEBRASKA,2020,43,,-,2,,19,,12,,,-,1,,4,,18,,NEBRASKA,,20204325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,43,6,,15,,232,,287,,,-,3,,5,,20,,,EAST SOUTH CENTRAL,20204338,
NORTH DAKOTA,2020,43,,-,2,,9,,15,,,-,2,,2,,5,,NORTH DAKOTA,,20204326,POINT (-100.46931 47.446305)
NEVADA,2020,43,2,,3,,51,,44,,,-,0,,,-,,-,NEVADA,,20204353,POINT (-114.916992 39.283294)
ILLINOIS,2020,43,,-,54,,149,,260,,,-,1,,1,,,-,ILLINOIS,,20204315,POINT (-89.148632 40.124144)
IOWA,2020,43,,-,3,,30,,40,,,-,1,,1,,2,,IOWA,,20204321,POINT (-93.500061 42.074659)
TEXAS,2020,43,,-,32,,556,,940,,,-,0,,,-,,-,TEXAS,,20204347,POINT (-99.317341 31.447238)
ALASKA,2020,43,,-,6,,44,,44,,,-,0,,,-,,-,ALASKA,,20204358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,43,,-,3,,13,,19,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20204330,POINT (-77.016275 38.904785)
WASHINGTON,2020,43,,-,10,,121,,183,,,-,4,,4,,,-,WASHINGTON,,20204362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,43,3,,9,,165,,242,,,-,1,,4,,6,,,NEW ENGLAND,20204302,
RHODE ISLAND,2020,43,,-,2,,7,,13,,,-,0,,,-,,-,RHODE ISLAND,,20204307,POINT (-71.534637 41.572574)
OREGON,2020,43,1,,5,,53,,53,,,-,1,,1,,1,,OREGON,,20204361,POINT (-120.605279 43.940449)
CONNECTICUT,2020,32,,-,4,,31,,39,,,-,0,,,-,,-,CONNECTICUT,,20203203,POINT (-72.738288 41.575155)
NEW HAMPSHIRE,2020,32,,-,2,,7,,4,,,-,0,,,-,1,,NEW HAMPSHIRE,,20203206,POINT (-71.57139 43.680429)
DELAWARE,2020,32,,-,1,,5,,14,,,-,0,,,-,,-,DELAWARE,,20203229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,32,,-,3,,9,,16,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20203230,POINT (-77.016275 38.904785)
MARYLAND,2020,32,3,,15,,72,,108,,,-,1,,,-,1,,MARYLAND,,20203233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,32,1,,29,,90,,62,,,-,1,,,-,2,,NORTH CAROLINA,,20203234,POINT (-79.130883 35.52603)
EAST SOUTH CENTRAL,2020,32,4,,14,,171,,205,,,-,3,,1,,12,,,EAST SOUTH CENTRAL,20203238,
ALABAMA,2020,32,,-,6,,35,,52,,,-,1,,,-,3,,ALABAMA,,20203239,POINT (-86.844516 32.756889)
TENNESSEE,2020,32,2,,6,,74,,66,,,-,2,,,-,3,,TENNESSEE,,20203242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,32,,-,42,,499,,838,,,-,8,,8,,59,,,WEST SOUTH CENTRAL,20203243,
TEXAS,2020,32,,-,32,,367,,707,,,-,0,,,-,,-,TEXAS,,20203247,POINT (-99.317341 31.447238)
DELAWARE,2020,43,,-,1,,8,,15,,,-,1,,1,,,-,DELAWARE,,20204329,POINT (-75.452394 38.994926)
ALABAMA,2020,43,3,,6,,56,,72,,,-,1,,1,,4,,ALABAMA,,20204339,POINT (-86.844516 32.756889)
KANSAS,2020,43,,-,8,,,-,25,,,-,1,,5,,10,,KANSAS,,20204322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,43,5,,29,,120,,102,,,-,0,,,-,3,,NORTH CAROLINA,,20204334,POINT (-79.130883 35.52603)
GUAM,2020,43,,-,4,,46,,61,,,-,0,,,-,,-,GUAM,,20204366,POINT (144.653198 13.3532)
NEW JERSEY,2020,43,3,,38,,118,,270,,,-,1,,1,,2,,NEW JERSEY,,20204310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,43,,-,3,,21,,35,,,-,1,,1,,2,,NEW MEXICO,,20204354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,43,3,,62,,341,,618,,,-,1,,3,,4,,,EAST NORTH CENTRAL,20204314,
US RESIDENTS,2020,32,36,,291,,3392,,5152,,1,,12,,42,,166,,,US RESIDENTS,20203201,
NEW ENGLAND,2020,32,1,,9,,120,,184,,,-,1,,2,,4,,,NEW ENGLAND,20203202,
NEVADA,2020,32,,-,5,,29,,30,,,-,0,,,-,,-,NEVADA,,20203253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,32,,-,4,,13,,22,,1,,0,,1,,2,,NEW MEXICO,,20203254,POINT (-106.108388 34.421369)
PACIFIC,2020,32,4,,79,,966,,1512,,,-,1,,1,,9,,,PACIFIC,20203257,
ALASKA,2020,32,1,,6,,39,,34,,,-,0,,,-,,-,ALASKA,,20203258,POINT (-151.631889 63.631126)
OREGON,2020,32,,-,5,,38,,39,,,-,1,,,-,2,,OREGON,,20203261,POINT (-120.605279 43.940449)
WASHINGTON,2020,32,,-,10,,92,,143,,,-,1,,,-,3,,WASHINGTON,,20203262,POINT (-120.592492 47.411715)
GUAM,2020,32,1,,6,,38,,37,,,-,0,,,-,,-,GUAM,,20203266,POINT (144.653198 13.3532)
TOTAL,2020,32,39,,294,,3460,,5243,,1,,12,,42,,166,,,TOTAL,20203270,
US RESIDENTS,2020,31,41,,291,,3264,,4989,,,-,12,,38,,157,,,US RESIDENTS,20203101,
NEW HAMPSHIRE,2020,31,,-,2,,,-,4,,,-,0,,,-,1,,NEW HAMPSHIRE,,20203106,POINT (-71.57139 43.680429)
NEW YORK,2020,31,3,,15,,91,,97,,,-,1,,,-,,-,NEW YORK,,20203111,POINT (-75.59655 42.921241)
PACIFIC,2020,31,4,,79,,939,,1461,,,-,1,,,-,9,,,PACIFIC,20203157,
WEST SOUTH CENTRAL,2020,31,4,,42,,485,,816,,,-,8,,8,,56,,,WEST SOUTH CENTRAL,20203143,
NEBRASKA,2020,31,,-,2,,3,,8,,,-,1,,3,,12,,NEBRASKA,,20203125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,31,4,,14,,167,,199,,,-,3,,1,,12,,,EAST SOUTH CENTRAL,20203138,
NORTH DAKOTA,2020,31,,-,1,,5,,11,,,-,2,,2,,4,,NORTH DAKOTA,,20203126,POINT (-100.46931 47.446305)
NEVADA,2020,31,,-,5,,29,,27,,,-,0,,,-,,-,NEVADA,,20203153,POINT (-114.916992 39.283294)
ILLINOIS,2020,31,,-,54,,99,,190,,,-,1,,1,,,-,ILLINOIS,,20203115,POINT (-89.148632 40.124144)
TOTAL,2020,27,34,,295,,2844,,4350,,,-,12,,30,,120,,,TOTAL,20202770,
US RESIDENTS,2020,27,29,,292,,2782,,4272,,,-,12,,30,,120,,,US RESIDENTS,20202701,
NEW HAMPSHIRE,2020,27,,-,2,,,-,4,,,-,0,,,-,1,,NEW HAMPSHIRE,,20202706,POINT (-71.57139 43.680429)
NEW YORK,2020,27,4,,15,,76,,84,,,-,1,,,-,,-,NEW YORK,,20202711,POINT (-75.59655 42.921241)
PACIFIC,2020,27,9,,79,,793,,1248,,,-,1,,,-,7,,,PACIFIC,20202757,
WEST SOUTH CENTRAL,2020,27,2,,42,,419,,691,,,-,8,,7,,44,,,WEST SOUTH CENTRAL,20202743,
NEBRASKA,2020,27,,-,2,,3,,6,,,-,3,,1,,8,,NEBRASKA,,20202725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,27,1,,14,,137,,161,,,-,3,,,-,12,,,EAST SOUTH CENTRAL,20202738,
NORTH DAKOTA,2020,27,,-,1,,5,,11,,,-,1,,,-,4,,NORTH DAKOTA,,20202726,POINT (-100.46931 47.446305)
NEVADA,2020,27,1,,5,,29,,21,,,-,0,,,-,,-,NEVADA,,20202753,POINT (-114.916992 39.283294)
ILLINOIS,2020,27,,-,54,,82,,173,,,-,1,,1,,,-,ILLINOIS,,20202715,POINT (-89.148632 40.124144)
IOWA,2020,27,,-,4,,,-,21,,,-,1,,,-,1,,IOWA,,20202721,POINT (-93.500061 42.074659)
TEXAS,2020,27,,-,33,,307,,578,,,-,0,,,-,,-,TEXAS,,20202747,POINT (-99.317341 31.447238)
ALASKA,2020,27,,-,6,,30,,27,,,-,0,,,-,,-,ALASKA,,20202758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,27,,-,3,,9,,13,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20202730,POINT (-77.016275 38.904785)
WASHINGTON,2020,27,,-,10,,79,,116,,,-,1,,,-,2,,WASHINGTON,,20202762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,27,2,,9,,96,,157,,,-,1,,2,,4,,,NEW ENGLAND,20202702,
RHODE ISLAND,2020,27,,-,1,,5,,8,,,-,0,,,-,,-,RHODE ISLAND,,20202707,POINT (-71.534637 41.572574)
OREGON,2020,27,,-,5,,28,,34,,,-,1,,,-,2,,OREGON,,20202761,POINT (-120.605279 43.940449)
DELAWARE,2020,27,,-,4,,5,,8,,,-,0,,,-,,-,DELAWARE,,20202729,POINT (-75.452394 38.994926)
ALABAMA,2020,27,,-,8,,31,,33,,,-,1,,,-,3,,ALABAMA,,20202739,POINT (-86.844516 32.756889)
KANSAS,2020,27,,-,8,,,-,20,,,-,1,,3,,6,,KANSAS,,20202722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,27,2,,29,,79,,58,,,-,1,,,-,,-,NORTH CAROLINA,,20202734,POINT (-79.130883 35.52603)
GUAM,2020,27,1,,6,,33,,33,,,-,0,,,-,,-,GUAM,,20202766,POINT (144.653198 13.3532)
NEW JERSEY,2020,27,,-,39,,62,,159,,,-,1,,,-,1,,NEW JERSEY,,20202710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,27,,-,4,,11,,18,,,-,0,,,-,2,,NEW MEXICO,,20202754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,27,,-,62,,226,,358,,,-,1,,1,,1,,,EAST NORTH CENTRAL,20202714,
TENNESSEE,2020,27,,-,6,,63,,53,,,-,2,,,-,3,,TENNESSEE,,20202742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,27,,-,4,,24,,37,,,-,0,,,-,,-,CONNECTICUT,,20202703,POINT (-72.738288 41.575155)
MARYLAND,2020,27,,-,15,,50,,90,,,-,1,,,-,,-,MARYLAND,,20202733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,27,,-,11,,15,,32,,,-,0,,,-,,-,SOUTH CAROLINA,,20202735,POINT (-80.864614 33.878572)
UTAH,2020,27,1,,3,,14,,13,,,-,0,,,-,,-,UTAH,,20202755,POINT (-111.678222 39.323779)
IOWA,2020,31,,-,4,,,-,23,,,-,1,,,-,2,,IOWA,,20203121,POINT (-93.500061 42.074659)
TEXAS,2020,31,,-,32,,353,,687,,,-,0,,,-,,-,TEXAS,,20203147,POINT (-99.317341 31.447238)
ALASKA,2020,31,,-,6,,38,,33,,,-,0,,,-,,-,ALASKA,,20203158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,31,,-,3,,9,,15,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20203130,POINT (-77.016275 38.904785)
WASHINGTON,2020,31,,-,10,,92,,139,,,-,1,,,-,3,,WASHINGTON,,20203162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,31,1,,9,,112,,182,,,-,1,,2,,4,,,NEW ENGLAND,20203102,
RHODE ISLAND,2020,31,,-,2,,7,,9,,,-,0,,,-,,-,RHODE ISLAND,,20203107,POINT (-71.534637 41.572574)
OKLAHOMA,2020,27,,-,4,,28,,33,,,-,5,,1,,8,,OKLAHOMA,,20202746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,27,,-,3,,13,,28,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202765,POINT (145.725693 15.1834)
OHIO,2020,27,,-,19,,60,,44,,,-,0,,,-,,-,OHIO,,20202718,POINT (-82.70936 40.415534)
MINNESOTA,2020,27,,-,27,,55,,65,,,-,0,,,-,1,,MINNESOTA,,20202723,POINT (-94.198308 46.349153)
LOUISIANA,2020,27,2,,7,,52,,40,,,-,0,,,-,,-,LOUISIANA,,20202745,POINT (-91.840238 30.921314)
HAWAII,2020,27,,-,4,,42,,51,,,-,0,,,-,,-,HAWAII,,20202760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,27,2,,90,,509,,714,,,-,1,,1,,2,,,SOUTH ATLANTIC,20202728,
PENNSYLVANIA,2020,27,1,,9,,67,,97,,,-,1,,,-,1,,PENNSYLVANIA,,20202713,POINT (-77.838886 40.896694)
COLORADO,2020,27,,-,6,,14,,27,,,-,1,,,-,4,,COLORADO,,20202750,POINT (-105.547832 38.998552)
VERMONT,2020,27,,-,1,,,-,3,,,-,0,,,-,,-,VERMONT,,20202708,POINT (-72.662695 44.075252)
KENTUCKY,2020,27,1,,7,,33,,35,,,-,2,,,-,5,,KENTUCKY,,20202740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,27,4,,3,,14,,16,,,-,0,,,-,,-,PUERTO RICO,,20202767,POINT (-66.414655 18.215692)
MAINE,2020,27,,-,3,,11,,12,,,-,1,,,-,,-,MAINE,,20202704,POINT (-69.06137 45.117911)
VIRGINIA,2020,27,,-,28,,64,,66,,,-,1,,1,,2,,VIRGINIA,,20202736,POINT (-78.666382 37.510861)
ARIZONA,2020,27,,-,6,,,-,100,,,-,1,,1,,1,,ARIZONA,,20202749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,27,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20202764,
WISCONSIN,2020,27,,-,4,,18,,21,,,-,1,,,-,1,,WISCONSIN,,20202719,POINT (-89.732969 44.639954)
IDAHO,2020,27,,-,2,,7,,3,,,-,0,,,-,,-,IDAHO,,20202751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,27,,-,1,,2,,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202768,POINT (-64.840836 18.060868)
MICHIGAN,2020,27,,-,7,,19,,62,,,-,1,,,-,,-,MICHIGAN,,20202717,POINT (-85.730977 44.874798)
GEORGIA,2020,27,,-,26,,88,,138,,,-,1,,,-,,-,GEORGIA,,20202732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,27,,-,1,,3,,4,,,-,0,,,-,,-,,NEW YORK CITY,20202712,
ARKANSAS,2020,27,,-,4,,32,,40,,,-,5,,6,,36,,ARKANSAS,,20202744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,27,,-,4,,10,,40,,,-,0,,,-,1,,MISSISSIPPI,,20202741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,27,,-,2,,11,,7,,,-,2,,,-,10,,SOUTH DAKOTA,,20202727,POINT (-100.230491 44.43614)
WYOMING,2020,27,,-,0,,,-,1,,,-,1,,1,,,-,WYOMING,,20202756,POINT (-107.55145 42.999627)
MISSOURI,2020,27,,-,4,,28,,27,,,-,2,,12,,10,,MISSOURI,,20202724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,27,5,,46,,208,,344,,,-,1,,,-,2,,,MIDDLE ATLANTIC,20202709,
CALIFORNIA,2020,27,9,,72,,614,,1020,,,-,1,,,-,3,,CALIFORNIA,,20202759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,27,,-,1,,8,,5,,,-,0,,,-,,-,WEST VIRGINIA,,20202737,POINT (-80.613729 38.642579)
FLORIDA,2020,27,,-,17,,191,,304,,,-,0,,,-,,-,FLORIDA,,20202731,POINT (-82.420978 28.260731)
MONTANA,2020,27,,-,1,,,-,,-,,-,1,,1,,1,,MONTANA,,20202752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,27,,-,33,,102,,157,,,-,5,,16,,40,,,WEST NORTH CENTRAL,20202720,
MASSACHUSETTS,2020,27,2,,8,,56,,93,,,-,1,,2,,3,,MASSACHUSETTS,,20202705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,27,2,,12,,75,,183,,,-,2,,3,,8,,,MOUNTAIN,20202748,
INDIANA,2020,27,,-,5,,47,,58,,,-,0,,,-,,-,INDIANA,,20202716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202769,
US TERRITORIES,2020,27,5,,8,,62,,78,,,-,0,,,-,,-,,US TERRITORIES,20202763,
OREGON,2020,31,4,,5,,38,,38,,,-,1,,,-,2,,OREGON,,20203161,POINT (-120.605279 43.940449)
DELAWARE,2020,31,,-,4,,5,,14,,,-,0,,,-,,-,DELAWARE,,20203129,POINT (-75.452394 38.994926)
ALABAMA,2020,31,,-,6,,35,,51,,,-,1,,,-,3,,ALABAMA,,20203139,POINT (-86.844516 32.756889)
KANSAS,2020,31,,-,8,,,-,21,,,-,1,,3,,7,,KANSAS,,20203122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,31,2,,29,,89,,62,,,-,1,,,-,1,,NORTH CAROLINA,,20203134,POINT (-79.130883 35.52603)
GUAM,2020,31,,-,6,,36,,35,,,-,0,,,-,,-,GUAM,,20203166,POINT (144.653198 13.3532)
NEW JERSEY,2020,31,5,,38,,79,,182,,,-,1,,,-,2,,NEW JERSEY,,20203110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,31,,-,4,,13,,22,,,-,0,,,-,2,,NEW MEXICO,,20203154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,31,3,,62,,243,,425,,,-,1,,2,,2,,,EAST NORTH CENTRAL,20203114,
TENNESSEE,2020,31,3,,6,,72,,63,,,-,2,,,-,3,,TENNESSEE,,20203142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,31,,-,4,,31,,39,,,-,0,,,-,,-,CONNECTICUT,,20203103,POINT (-72.738288 41.575155)
MARYLAND,2020,31,1,,15,,65,,105,,,-,1,,,-,1,,MARYLAND,,20203133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,31,,-,11,,22,,37,,,-,0,,,-,,-,SOUTH CAROLINA,,20203135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,31,3,,4,,36,,39,,,-,5,,1,,11,,OKLAHOMA,,20203146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,31,,-,3,,12,,34,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20203165,POINT (145.725693 15.1834)
OHIO,2020,31,,-,19,,66,,73,,,-,0,,,-,,-,OHIO,,20203118,POINT (-82.70936 40.415534)
MINNESOTA,2020,31,5,,27,,60,,79,,,-,0,,,-,1,,MINNESOTA,,20203123,POINT (-94.198308 46.349153)
LOUISIANA,2020,31,1,,7,,58,,46,,,-,0,,,-,,-,LOUISIANA,,20203145,POINT (-91.840238 30.921314)
HAWAII,2020,31,,-,5,,52,,61,,,-,0,,,-,,-,HAWAII,,20203160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,31,4,,90,,617,,807,,,-,1,,1,,5,,,SOUTH ATLANTIC,20203128,
PENNSYLVANIA,2020,31,3,,9,,81,,109,,,-,1,,,-,1,,PENNSYLVANIA,,20203113,POINT (-77.838886 40.896694)
UTAH,2020,31,,-,3,,14,,15,,,-,0,,,-,,-,UTAH,,20203155,POINT (-111.678222 39.323779)
COLORADO,2020,31,,-,6,,21,,34,,,-,1,,,-,5,,COLORADO,,20203150,POINT (-105.547832 38.998552)
VERMONT,2020,31,,-,1,,,-,3,,,-,0,,,-,,-,VERMONT,,20203108,POINT (-72.662695 44.075252)
KENTUCKY,2020,31,1,,7,,38,,43,,,-,2,,1,,5,,KENTUCKY,,20203140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,31,,-,4,,14,,18,,,-,0,,,-,,-,PUERTO RICO,,20203167,POINT (-66.414655 18.215692)
MAINE,2020,31,,-,3,,11,,13,,,-,1,,,-,,-,MAINE,,20203104,POINT (-69.06137 45.117911)
VIRGINIA,2020,31,1,,28,,75,,75,,,-,1,,1,,3,,VIRGINIA,,20203136,POINT (-78.666382 37.510861)
ARIZONA,2020,31,,-,6,,,-,107,,,-,1,,1,,1,,ARIZONA,,20203149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,31,,-,0,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20203164,
WISCONSIN,2020,31,,-,4,,20,,25,,,-,1,,,-,2,,WISCONSIN,,20203119,POINT (-89.732969 44.639954)
IDAHO,2020,31,,-,2,,8,,4,,,-,0,,,-,,-,IDAHO,,20203151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,31,,-,1,,2,,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203168,POINT (-64.840836 18.060868)
MICHIGAN,2020,31,,-,6,,,-,73,,,-,1,,,-,,-,MICHIGAN,,20203117,POINT (-85.730977 44.874798)
GEORGIA,2020,31,,-,26,,117,,144,,,-,1,,,-,,-,GEORGIA,,20203132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,31,,-,1,,4,,4,,,-,0,,,-,,-,,NEW YORK CITY,20203112,
ARKANSAS,2020,31,,-,4,,38,,44,,,-,5,,7,,45,,ARKANSAS,,20203144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,31,,-,4,,22,,42,,,-,0,,,-,1,,MISSISSIPPI,,20203141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,31,,-,2,,11,,7,,,-,1,,,-,14,,SOUTH DAKOTA,,20203127,POINT (-100.230491 44.43614)
WYOMING,2020,31,,-,0,,,-,1,,,-,1,,1,,1,,WYOMING,,20203156,POINT (-107.55145 42.999627)
MISSOURI,2020,31,,-,4,,35,,34,,,-,2,,13,,16,,MISSOURI,,20203124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,31,11,,45,,255,,392,,,-,1,,,-,3,,,MIDDLE ATLANTIC,20203109,
CALIFORNIA,2020,31,,-,72,,719,,1190,,,-,1,,,-,4,,CALIFORNIA,,20203159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,31,,-,1,,8,,5,,,-,0,,,-,,-,WEST VIRGINIA,,20203137,POINT (-80.613729 38.642579)
