ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
CONNECTICUT,2021,24,,-,4,,14,,30,,,-,0,,,-,,-,CONNECTICUT,,20212403,POINT (-72.738288 41.575155)
MARYLAND,2021,24,2,,7,,63,,63,,,-,0,,,-,,-,MARYLAND,,20212433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,24,3,,8,,32,,15,,,-,0,,,-,,-,SOUTH CAROLINA,,20212435,POINT (-80.864614 33.878572)
OKLAHOMA,2021,24,,-,5,,6,,29,,,-,1,,1,,1,,OKLAHOMA,,20212446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,24,,-,4,,,-,12,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212465,POINT (145.725693 15.1834)
OHIO,2021,24,,-,48,,17,,54,,,-,0,,,-,,-,OHIO,,20212418,POINT (-82.70936 40.415534)
MINNESOTA,2021,24,2,,17,,34,,46,,,-,0,,,-,,-,MINNESOTA,,20212423,POINT (-94.198308 46.349153)
LOUISIANA,2021,24,2,,7,,37,,48,,,-,1,,,-,,-,LOUISIANA,,20212445,POINT (-91.840238 30.921314)
HAWAII,2021,24,2,,5,,51,,44,,,-,0,,,-,,-,HAWAII,,20212460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,24,8,,51,,272,,559,,,-,1,,1,,1,,,SOUTH ATLANTIC,20212428,
PENNSYLVANIA,2021,24,1,,10,,71,,66,,,-,0,,,-,,-,PENNSYLVANIA,,20212413,POINT (-77.838886 40.896694)
UTAH,2021,24,,-,4,,2,,13,,,-,0,,,-,,-,UTAH,,20212455,POINT (-111.678222 39.323779)
COLORADO,2021,24,,-,7,,21,,22,,,-,1,,1,,,-,COLORADO,,20212450,POINT (-105.547832 38.998552)
VERMONT,2021,24,,-,1,,,-,1,,,-,0,,,-,,-,VERMONT,,20212408,POINT (-72.662695 44.075252)
KENTUCKY,2021,24,1,,5,,24,,34,,,-,1,,3,,1,,KENTUCKY,,20212440,POINT (-85.290484 37.526683)
PUERTO RICO,2021,24,2,,4,,6,,10,,,-,0,,,-,,-,PUERTO RICO,,20212467,POINT (-66.414655 18.215692)
