ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
MICHIGAN,2021,10,,-,9,,,-,18,,,-,1,,,-,,-,MICHIGAN,,20211017,POINT (-85.730977 44.874798)
GEORGIA,2021,10,1,,12,,8,,68,,,-,0,,,-,,-,GEORGIA,,20211032,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,10,,-,16,,67,,97,,,-,0,,,-,,-,,NEW YORK CITY,20211012,
ARKANSAS,2021,10,,-,4,,6,,12,,,-,2,,,-,3,,ARKANSAS,,20211044,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,10,,-,3,,,-,7,,,-,0,,,-,,-,MISSISSIPPI,,20211041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,10,,-,2,,,-,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20211027,POINT (-100.230491 44.43614)
WYOMING,2021,10,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20211056,POINT (-107.55145 42.999627)
MISSOURI,2021,10,,-,5,,13,,11,,,-,2,,,-,2,,MISSOURI,,20211024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,10,11,,100,,136,,180,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20211009,
CALIFORNIA,2021,10,4,,61,,127,,339,,,-,0,,,-,1,,CALIFORNIA,,20211059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,10,,-,2,,,-,5,,,-,0,,,-,,-,WEST VIRGINIA,,20211037,POINT (-80.613729 38.642579)
FLORIDA,2021,10,,-,14,,1,,92,,,-,0,,,-,,-,FLORIDA,,20211031,POINT (-82.420978 28.260731)
MONTANA,2021,10,,-,3,,,-,,-,,-,0,,,-,1,,MONTANA,,20211052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,10,,-,23,,21,,57,,,-,3,,,-,3,,,WEST NORTH CENTRAL,20211020,
MASSACHUSETTS,2021,10,,-,7,,11,,30,,,-,1,,,-,,-,MASSACHUSETTS,,20211005,POINT (-71.481104 42.151077)
MOUNTAIN,2021,10,,-,15,,34,,65,,,-,1,,,-,2,,,MOUNTAIN,20211048,
INDIANA,2021,10,2,,5,,12,,18,,,-,1,,,-,,-,INDIANA,,20211016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20211069,
US TERRITORIES,2021,10,1,,7,,13,,29,,,-,0,,,-,,-,,US TERRITORIES,20211063,
TOTAL,2021,12,34,,302,,868,,1687,,,-,8,,,-,12,,,TOTAL,20211270,
US RESIDENTS,2021,11,30,,294,,706,,1538,,,-,8,,,-,12,,,US RESIDENTS,20211101,
NEW HAMPSHIRE,2021,11,,-,3,,,-,6,,,-,1,,,-,,-,NEW HAMPSHIRE,,20211106,POINT (-71.57139 43.680429)
NEW YORK,2021,11,1,,12,,22,,37,,,-,1,,,-,,-,NEW YORK,,20211111,POINT (-75.59655 42.921241)
PACIFIC,2021,11,8,,68,,227,,457,,,-,3,,,-,1,,,PACIFIC,20211157,
WEST SOUTH CENTRAL,2021,11,1,,30,,109,,267,,,-,2,,,-,3,,,WEST SOUTH CENTRAL,20211143,
NEBRASKA,2021,11,,-,4,,,-,9,,,-,1,,,-,,-,NEBRASKA,,20211125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,11,1,,16,,36,,61,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20211138,
NORTH DAKOTA,2021,11,,-,3,,1,,4,,,-,2,,,-,,-,NORTH DAKOTA,,20211126,POINT (-100.46931 47.446305)
NEVADA,2021,11,1,,3,,13,,9,,,-,0,,,-,,-,NEVADA,,20211153,POINT (-114.916992 39.283294)
ILLINOIS,2021,11,,-,35,,,-,30,,,-,1,,,-,1,,ILLINOIS,,20211115,POINT (-89.148632 40.124144)
IOWA,2021,11,,-,3,,,-,6,,,-,1,,,-,,-,IOWA,,20211121,POINT (-93.500061 42.074659)
TEXAS,2021,11,,-,25,,81,,224,,,-,0,,,-,,-,TEXAS,,20211147,POINT (-99.317341 31.447238)
ALASKA,2021,11,,-,4,,3,,13,,,-,0,,,-,,-,ALASKA,,20211158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,11,,-,2,,1,,9,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20211130,POINT (-77.016275 38.904785)
WASHINGTON,2021,11,,-,9,,40,,36,,,-,2,,,-,,-,WASHINGTON,,20211162,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,11,,-,9,,26,,63,,,-,1,,,-,,-,,NEW ENGLAND,20211102,
RHODE ISLAND,2021,11,,-,2,,1,,3,,,-,0,,,-,,-,RHODE ISLAND,,20211107,POINT (-71.534637 41.572574)
OREGON,2021,11,,-,4,,14,,15,,,-,1,,,-,,-,OREGON,,20211161,POINT (-120.605279 43.940449)
DELAWARE,2021,11,,-,2,,2,,3,,,-,1,,,-,,-,DELAWARE,,20211129,POINT (-75.452394 38.994926)
ALABAMA,2021,11,,-,6,,15,,14,,,-,1,,,-,,-,ALABAMA,,20211139,POINT (-86.844516 32.756889)
KANSAS,2021,11,,-,6,,1,,6,,,-,1,,,-,2,,KANSAS,,20211122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,11,2,,21,,6,,12,,,-,1,,,-,,-,NORTH CAROLINA,,20211134,POINT (-79.130883 35.52603)
GUAM,2021,11,,-,3,,11,,19,,,-,0,,,-,,-,GUAM,,20211166,POINT (144.653198 13.3532)
NEW JERSEY,2021,11,1,,85,,22,,18,,,-,1,,,-,,-,NEW JERSEY,,20211110,POINT (-74.655514 40.110253)
NEW MEXICO,2021,11,,-,3,,3,,5,,,-,1,,,-,,-,NEW MEXICO,,20211154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,11,3,,41,,62,,108,,,-,2,,,-,1,,,EAST NORTH CENTRAL,20211114,
TENNESSEE,2021,11,1,,6,,13,,27,,,-,1,,,-,,-,TENNESSEE,,20211142,POINT (-86.343226 35.842998)
CONNECTICUT,2021,11,,-,4,,7,,17,,,-,0,,,-,,-,CONNECTICUT,,20211103,POINT (-72.738288 41.575155)
MARYLAND,2021,11,,-,8,,,-,25,,,-,0,,,-,,-,MARYLAND,,20211133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,11,7,,8,,12,,2,,,-,0,,,-,,-,SOUTH CAROLINA,,20211135,POINT (-80.864614 33.878572)
OKLAHOMA,2021,11,1,,5,,6,,16,,,-,1,,,-,,-,OKLAHOMA,,20211146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,11,,-,4,,,-,6,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211165,POINT (145.725693 15.1834)
OHIO,2021,11,,-,35,,38,,26,,,-,0,,,-,,-,OHIO,,20211118,POINT (-82.70936 40.415534)
MINNESOTA,2021,11,,-,17,,7,,17,,,-,0,,,-,,-,MINNESOTA,,20211123,POINT (-94.198308 46.349153)
LOUISIANA,2021,11,,-,7,,9,,12,,,-,1,,,-,,-,LOUISIANA,,20211145,POINT (-91.840238 30.921314)
HAWAII,2021,11,4,,5,,20,,21,,,-,0,,,-,,-,HAWAII,,20211160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,11,10,,50,,41,,263,,,-,1,,,-,1,,,SOUTH ATLANTIC,20211128,
PENNSYLVANIA,2021,11,3,,10,,29,,32,,,-,0,,,-,,-,PENNSYLVANIA,,20211113,POINT (-77.838886 40.896694)
UTAH,2021,11,,-,4,,2,,7,,,-,0,,,-,,-,UTAH,,20211155,POINT (-111.678222 39.323779)
COLORADO,2021,11,,-,7,,9,,12,,,-,1,,,-,,-,COLORADO,,20211150,POINT (-105.547832 38.998552)
VERMONT,2021,11,,-,2,,,-,1,,,-,0,,,-,,-,VERMONT,,20211108,POINT (-72.662695 44.075252)
KENTUCKY,2021,11,,-,8,,8,,12,,,-,1,,,-,,-,KENTUCKY,,20211140,POINT (-85.290484 37.526683)
PUERTO RICO,2021,11,,-,4,,2,,6,,,-,0,,,-,,-,PUERTO RICO,,20211167,POINT (-66.414655 18.215692)
MAINE,2021,11,,-,2,,1,,3,,,-,0,,,-,,-,MAINE,,20211104,POINT (-69.06137 45.117911)
VIRGINIA,2021,11,1,,16,,12,,28,,,-,0,,,-,1,,VIRGINIA,,20211136,POINT (-78.666382 37.510861)
ARIZONA,2021,11,,-,8,,12,,35,,,-,0,,,-,1,,ARIZONA,,20211149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,11,,-,1,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211164,
WISCONSIN,2021,11,,-,3,,9,,12,,,-,1,,,-,,-,WISCONSIN,,20211119,POINT (-89.732969 44.639954)
IDAHO,2021,11,,-,2,,,-,3,,,-,0,,,-,,-,IDAHO,,20211151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,11,,-,1,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211168,POINT (-64.840836 18.060868)
MICHIGAN,2021,11,,-,9,,,-,21,,,-,1,,,-,,-,MICHIGAN,,20211117,POINT (-85.730977 44.874798)
GEORGIA,2021,11,,-,12,,8,,74,,,-,0,,,-,,-,GEORGIA,,20211132,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,11,,-,16,,67,,103,,,-,0,,,-,,-,,NEW YORK CITY,20211112,
ARKANSAS,2021,11,,-,4,,13,,15,,,-,2,,,-,3,,ARKANSAS,,20211144,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,11,,-,3,,,-,8,,,-,0,,,-,,-,MISSISSIPPI,,20211141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,11,,-,2,,,-,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20211127,POINT (-100.230491 44.43614)
WYOMING,2021,11,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20211156,POINT (-107.55145 42.999627)
MISSOURI,2021,11,1,,5,,17,,11,,,-,2,,,-,2,,MISSOURI,,20211124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,11,5,,101,,140,,190,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20211109,
CALIFORNIA,2021,11,4,,61,,150,,372,,,-,0,,,-,1,,CALIFORNIA,,20211159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,11,,-,2,,,-,5,,,-,0,,,-,,-,WEST VIRGINIA,,20211137,POINT (-80.613729 38.642579)
FLORIDA,2021,11,,-,14,,,-,105,,,-,0,,,-,,-,FLORIDA,,20211131,POINT (-82.420978 28.260731)
MONTANA,2021,11,,-,3,,,-,,-,,-,0,,,-,1,,MONTANA,,20211152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,11,1,,23,,26,,58,,,-,3,,,-,4,,,WEST NORTH CENTRAL,20211120,
MASSACHUSETTS,2021,11,,-,7,,17,,33,,,-,1,,,-,,-,MASSACHUSETTS,,20211105,POINT (-71.481104 42.151077)
MOUNTAIN,2021,11,1,,15,,39,,71,,,-,1,,,-,2,,,MOUNTAIN,20211148,
INDIANA,2021,11,3,,5,,15,,19,,,-,1,,,-,,-,INDIANA,,20211116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20211169,
US TERRITORIES,2021,11,,-,7,,13,,31,,,-,0,,,-,,-,,US TERRITORIES,20211163,
MOUNTAIN,2021,16,1,,15,,69,,111,,,-,1,,,-,2,,,MOUNTAIN,20211648,
TOTAL,2021,13,36,,301,,938,,1840,,1,,8,,1,,12,,,TOTAL,20211370,
US RESIDENTS,2021,12,34,,295,,855,,1655,,,-,8,,,-,12,,,US RESIDENTS,20211201,
NEW HAMPSHIRE,2021,12,,-,3,,,-,6,,,-,1,,,-,,-,NEW HAMPSHIRE,,20211206,POINT (-71.57139 43.680429)
NEW YORK,2021,12,,-,12,,23,,39,,,-,1,,,-,,-,NEW YORK,,20211211,POINT (-75.59655 42.921241)
PACIFIC,2021,12,10,,69,,275,,496,,,-,3,,,-,1,,,PACIFIC,20211257,
WEST SOUTH CENTRAL,2021,12,3,,30,,139,,278,,,-,2,,,-,3,,,WEST SOUTH CENTRAL,20211243,
NEBRASKA,2021,12,,-,4,,,-,9,,,-,1,,,-,,-,NEBRASKA,,20211225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,12,3,,16,,38,,66,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20211238,
NORTH DAKOTA,2021,12,,-,3,,1,,4,,,-,2,,,-,,-,NORTH DAKOTA,,20211226,POINT (-100.46931 47.446305)
NEVADA,2021,12,3,,3,,16,,10,,,-,0,,,-,,-,NEVADA,,20211253,POINT (-114.916992 39.283294)
ILLINOIS,2021,12,,-,35,,31,,30,,,-,1,,,-,1,,ILLINOIS,,20211215,POINT (-89.148632 40.124144)
IOWA,2021,12,,-,3,,,-,8,,,-,1,,,-,,-,IOWA,,20211221,POINT (-93.500061 42.074659)
TEXAS,2021,12,,-,25,,101,,234,,,-,0,,,-,,-,TEXAS,,20211247,POINT (-99.317341 31.447238)
ALASKA,2021,12,,-,4,,16,,17,,,-,0,,,-,,-,ALASKA,,20211258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,12,,-,2,,1,,9,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20211230,POINT (-77.016275 38.904785)
WASHINGTON,2021,12,,-,9,,44,,41,,,-,2,,,-,,-,WASHINGTON,,20211262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,12,3,,9,,30,,67,,,-,1,,,-,,-,,NEW ENGLAND,20211202,
RHODE ISLAND,2021,12,,-,2,,2,,4,,,-,0,,,-,,-,RHODE ISLAND,,20211207,POINT (-71.534637 41.572574)
OREGON,2021,12,2,,4,,16,,17,,,-,1,,,-,,-,OREGON,,20211261,POINT (-120.605279 43.940449)
DELAWARE,2021,12,,-,2,,2,,4,,,-,1,,,-,,-,DELAWARE,,20211229,POINT (-75.452394 38.994926)
ALABAMA,2021,12,,-,6,,15,,15,,,-,1,,,-,,-,ALABAMA,,20211239,POINT (-86.844516 32.756889)
KANSAS,2021,12,,-,6,,1,,6,,,-,1,,,-,2,,KANSAS,,20211222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,12,,-,21,,6,,14,,,-,1,,,-,,-,NORTH CAROLINA,,20211234,POINT (-79.130883 35.52603)
GUAM,2021,12,,-,3,,11,,19,,,-,0,,,-,,-,GUAM,,20211266,POINT (144.653198 13.3532)
NEW JERSEY,2021,12,3,,85,,25,,22,,,-,1,,,-,,-,NEW JERSEY,,20211210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,12,,-,3,,3,,5,,,-,1,,,-,,-,NEW MEXICO,,20211254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,12,,-,41,,95,,114,,,-,2,,,-,1,,,EAST NORTH CENTRAL,20211214,
TENNESSEE,2021,12,2,,6,,14,,31,,,-,1,,,-,,-,TENNESSEE,,20211242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,12,,-,4,,7,,17,,,-,0,,,-,,-,CONNECTICUT,,20211203,POINT (-72.738288 41.575155)
MARYLAND,2021,12,,-,8,,,-,27,,,-,0,,,-,,-,MARYLAND,,20211233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,12,,-,8,,12,,2,,,-,0,,,-,,-,SOUTH CAROLINA,,20211235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,12,,-,5,,6,,16,,,-,1,,,-,,-,OKLAHOMA,,20211246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,12,,-,4,,,-,6,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211265,POINT (145.725693 15.1834)
OHIO,2021,12,,-,35,,38,,26,,,-,0,,,-,,-,OHIO,,20211218,POINT (-82.70936 40.415534)
MINNESOTA,2021,12,3,,17,,10,,20,,,-,0,,,-,,-,MINNESOTA,,20211223,POINT (-94.198308 46.349153)
LOUISIANA,2021,12,3,,7,,19,,12,,,-,1,,,-,,-,LOUISIANA,,20211245,POINT (-91.840238 30.921314)
HAWAII,2021,12,5,,5,,26,,23,,,-,0,,,-,,-,HAWAII,,20211260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,12,1,,50,,46,,279,,,-,1,,,-,1,,,SOUTH ATLANTIC,20211228,
PENNSYLVANIA,2021,12,5,,10,,34,,37,,,-,0,,,-,,-,PENNSYLVANIA,,20211213,POINT (-77.838886 40.896694)
UTAH,2021,12,,-,4,,2,,8,,,-,0,,,-,,-,UTAH,,20211255,POINT (-111.678222 39.323779)
COLORADO,2021,12,,-,7,,15,,12,,,-,1,,,-,,-,COLORADO,,20211250,POINT (-105.547832 38.998552)
VERMONT,2021,12,,-,1,,,-,1,,,-,0,,,-,,-,VERMONT,,20211208,POINT (-72.662695 44.075252)
KENTUCKY,2021,12,1,,8,,9,,12,,,-,1,,,-,,-,KENTUCKY,,20211240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,12,,-,4,,2,,6,,,-,0,,,-,,-,PUERTO RICO,,20211267,POINT (-66.414655 18.215692)
MAINE,2021,12,,-,2,,1,,3,,,-,0,,,-,,-,MAINE,,20211204,POINT (-69.06137 45.117911)
VIRGINIA,2021,12,1,,16,,15,,31,,,-,0,,,-,1,,VIRGINIA,,20211236,POINT (-78.666382 37.510861)
ARIZONA,2021,12,,-,8,,15,,43,,,-,0,,,-,1,,ARIZONA,,20211249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,12,,-,1,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211264,
WISCONSIN,2021,12,,-,3,,11,,12,,,-,1,,,-,,-,WISCONSIN,,20211219,POINT (-89.732969 44.639954)
IDAHO,2021,12,,-,2,,,-,3,,,-,0,,,-,,-,IDAHO,,20211251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,12,,-,1,,,-,1,,,-,0,,,-,,-,VIRGIN ISLANDS,,20211268,POINT (-64.840836 18.060868)
MICHIGAN,2021,12,,-,9,,,-,24,,,-,1,,,-,,-,MICHIGAN,,20211217,POINT (-85.730977 44.874798)
GEORGIA,2021,12,,-,12,,10,,75,,,-,0,,,-,,-,GEORGIA,,20211232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,12,,-,16,,68,,111,,,-,0,,,-,,-,,NEW YORK CITY,20211212,
ARKANSAS,2021,12,,-,4,,13,,16,,,-,2,,,-,3,,ARKANSAS,,20211244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,12,,-,3,,,-,8,,,-,0,,,-,,-,MISSISSIPPI,,20211241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,12,,-,1,,,-,7,,,-,0,,,-,,-,SOUTH DAKOTA,,20211227,POINT (-100.230491 44.43614)
WYOMING,2021,12,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20211256,POINT (-107.55145 42.999627)
MISSOURI,2021,12,,-,5,,19,,11,,,-,2,,,-,2,,MISSOURI,,20211224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,12,8,,101,,150,,209,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20211209,
CALIFORNIA,2021,12,3,,61,,173,,398,,,-,0,,,-,1,,CALIFORNIA,,20211259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,12,,-,2,,,-,6,,,-,0,,,-,,-,WEST VIRGINIA,,20211237,POINT (-80.613729 38.642579)
FLORIDA,2021,12,,-,14,,,-,111,,,-,0,,,-,,-,FLORIDA,,20211231,POINT (-82.420978 28.260731)
MONTANA,2021,12,,-,3,,,-,,-,,-,0,,,-,1,,MONTANA,,20211252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,12,3,,23,,31,,65,,,-,3,,,-,4,,,WEST NORTH CENTRAL,20211220,
MASSACHUSETTS,2021,12,3,,7,,20,,36,,,-,1,,,-,,-,MASSACHUSETTS,,20211205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,12,3,,15,,51,,81,,,-,1,,,-,2,,,MOUNTAIN,20211248,
INDIANA,2021,12,,-,5,,15,,22,,,-,1,,,-,,-,INDIANA,,20211216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20211269,
US TERRITORIES,2021,12,,-,7,,13,,32,,,-,0,,,-,,-,,US TERRITORIES,20211263,
TOTAL,2021,14,34,,302,,1045,,1986,,,-,8,,1,,12,,,TOTAL,20211470,
US RESIDENTS,2021,19,25,,299,,1670,,2541,,1,,8,,7,,19,,,US RESIDENTS,20211901,
NEW HAMPSHIRE,2021,19,,-,3,,4,,6,,,-,1,,,-,,-,NEW HAMPSHIRE,,20211906,POINT (-71.57139 43.680429)
NEW YORK,2021,19,2,,12,,42,,59,,,-,1,,,-,,-,NEW YORK,,20211911,POINT (-75.59655 42.921241)
PACIFIC,2021,19,4,,68,,466,,767,,,-,3,,,-,2,,,PACIFIC,20211957,
WEST SOUTH CENTRAL,2021,19,1,,30,,280,,418,,,-,3,,1,,5,,,WEST SOUTH CENTRAL,20211943,
NEBRASKA,2021,19,,-,3,,,-,12,,,-,1,,,-,1,,NEBRASKA,,20211925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,19,4,,16,,73,,99,,,-,1,,2,,1,,,EAST SOUTH CENTRAL,20211938,
NORTH DAKOTA,2021,19,,-,3,,3,,6,,,-,2,,,-,,-,NORTH DAKOTA,,20211926,POINT (-100.46931 47.446305)
NEVADA,2021,19,,-,4,,25,,21,,,-,0,,,-,,-,NEVADA,,20211953,POINT (-114.916992 39.283294)
ILLINOIS,2021,19,,-,35,,67,,61,,,-,1,,,-,1,,ILLINOIS,,20211915,POINT (-89.148632 40.124144)
IOWA,2021,19,,-,3,,2,,17,,,-,1,,,-,,-,IOWA,,20211921,POINT (-93.500061 42.074659)
TEXAS,2021,19,,-,25,,227,,330,,,-,0,,,-,,-,TEXAS,,20211947,POINT (-99.317341 31.447238)
ALASKA,2021,19,,-,4,,22,,29,,,-,0,,,-,,-,ALASKA,,20211958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,19,,-,2,,1,,9,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20211930,POINT (-77.016275 38.904785)
WASHINGTON,2021,19,1,,8,,70,,62,,,-,2,,,-,1,,WASHINGTON,,20211962,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,19,,-,9,,72,,97,,,-,1,,,-,1,,,NEW ENGLAND,20211902,
RHODE ISLAND,2021,19,,-,2,,3,,4,,,-,0,,,-,,-,RHODE ISLAND,,20211907,POINT (-71.534637 41.572574)
OREGON,2021,19,,-,4,,17,,27,,,-,1,,,-,,-,OREGON,,20211961,POINT (-120.605279 43.940449)
DELAWARE,2021,19,,-,2,,1,,6,,,-,1,,,-,,-,DELAWARE,,20211929,POINT (-75.452394 38.994926)
ALABAMA,2021,19,2,,6,,23,,20,,,-,1,,,-,,-,ALABAMA,,20211939,POINT (-86.844516 32.756889)
KANSAS,2021,19,,-,6,,9,,11,,1,,1,,2,,2,,KANSAS,,20211922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,19,2,,21,,26,,54,,,-,1,,,-,,-,NORTH CAROLINA,,20211934,POINT (-79.130883 35.52603)
GUAM,2021,19,,-,3,,20,,26,,,-,0,,,-,,-,GUAM,,20211966,POINT (144.653198 13.3532)
NEW JERSEY,2021,19,1,,86,,53,,48,,,-,1,,,-,,-,NEW JERSEY,,20211910,POINT (-74.655514 40.110253)
NEW MEXICO,2021,19,,-,3,,10,,9,,,-,1,,,-,,-,NEW MEXICO,,20211954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,19,6,,41,,155,,169,,,-,2,,,-,1,,,EAST NORTH CENTRAL,20211914,
TENNESSEE,2021,19,,-,7,,30,,45,,,-,1,,,-,,-,TENNESSEE,,20211942,POINT (-86.343226 35.842998)
CONNECTICUT,2021,19,,-,4,,14,,28,,,-,0,,,-,,-,CONNECTICUT,,20211903,POINT (-72.738288 41.575155)
MARYLAND,2021,19,1,,7,,48,,51,,,-,0,,,-,,-,MARYLAND,,20211933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,19,1,,8,,21,,10,,,-,0,,,-,,-,SOUTH CAROLINA,,20211935,POINT (-80.864614 33.878572)
OKLAHOMA,2021,19,,-,5,,6,,20,,,-,1,,1,,1,,OKLAHOMA,,20211946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,19,,-,4,,,-,9,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211965,POINT (145.725693 15.1834)
OHIO,2021,19,2,,35,,45,,29,,,-,0,,,-,,-,OHIO,,20211918,POINT (-82.70936 40.415534)
MINNESOTA,2021,19,,-,17,,25,,41,,,-,0,,,-,,-,MINNESOTA,,20211923,POINT (-94.198308 46.349153)
LOUISIANA,2021,19,1,,7,,28,,40,,,-,1,,,-,,-,LOUISIANA,,20211945,POINT (-91.840238 30.921314)
HAWAII,2021,19,1,,5,,39,,31,,,-,0,,,-,,-,HAWAII,,20211960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,19,4,,51,,176,,432,,,-,1,,,-,1,,,SOUTH ATLANTIC,20211928,
PENNSYLVANIA,2021,19,,-,10,,54,,53,,,-,0,,,-,,-,PENNSYLVANIA,,20211913,POINT (-77.838886 40.896694)
UTAH,2021,19,,-,4,,2,,11,,,-,0,,,-,,-,UTAH,,20211955,POINT (-111.678222 39.323779)
COLORADO,2021,19,,-,7,,19,,19,,,-,1,,,-,,-,COLORADO,,20211950,POINT (-105.547832 38.998552)
VERMONT,2021,19,,-,1,,,-,1,,,-,0,,,-,,-,VERMONT,,20211908,POINT (-72.662695 44.075252)
KENTUCKY,2021,19,1,,8,,18,,19,,,-,1,,2,,1,,KENTUCKY,,20211940,POINT (-85.290484 37.526683)
PUERTO RICO,2021,19,,-,4,,3,,6,,,-,0,,,-,,-,PUERTO RICO,,20211967,POINT (-66.414655 18.215692)
MAINE,2021,19,,-,2,,5,,5,,,-,0,,,-,,-,MAINE,,20211904,POINT (-69.06137 45.117911)
VIRGINIA,2021,19,,-,16,,32,,42,,,-,1,,,-,1,,VIRGINIA,,20211936,POINT (-78.666382 37.510861)
ARIZONA,2021,19,,-,8,,32,,65,,,-,0,,,-,1,,ARIZONA,,20211949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,19,,-,1,,,-,1,,,-,0,,,-,,-,,AMERICAN SAMOA,20211964,
WISCONSIN,2021,19,,-,3,,15,,13,,,-,1,,,-,,-,WISCONSIN,,20211919,POINT (-89.732969 44.639954)
IDAHO,2021,19,,-,1,,,-,6,,,-,1,,1,,,-,IDAHO,,20211951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,19,,-,0,,,-,2,,,-,0,,,-,,-,VIRGIN ISLANDS,,20211968,POINT (-64.840836 18.060868)
